contrast,crop,trait,log2FC_CL,stat.f
RW / control,lettuce,dry_total_weight,0.488 [-0.751 to 1.73],"t = 0.951, df = 18, p > 0.1"
BS / control,lettuce,dry_total_weight,0.162 [-1.08 to 1.4],"t = 0.315, df = 18, p > 0.1"
RW / control,radish,dry_total_weight,0.201 [-1.04 to 1.44],"t = 0.391, df = 18, p > 0.1"
BS / control,radish,dry_total_weight,0.0444 [-1.2 to 1.28],"t = 0.0865, df = 18, p > 0.1"
RW / control,pea,dry_total_weight,0.558 [-0.682 to 1.8],"t = 1.09, df = 18, p > 0.1"
BS / control,pea,dry_total_weight,-0.317 [-1.56 to 0.922],"t = -0.618, df = 18, p > 0.1"
RW / control,lettuce,per_plant_weight,0.0611 [-0.681 to 0.803],"t = 0.199, df = 18, p > 0.1"
BS / control,lettuce,per_plant_weight,-0.365 [-1.11 to 0.377],"t = -1.19, df = 18, p > 0.1"
RW / control,radish,per_plant_weight,0.201 [-0.541 to 0.943],"t = 0.654, df = 18, p > 0.1"
BS / control,radish,per_plant_weight,0.0444 [-0.697 to 0.786],"t = 0.145, df = 18, p > 0.1"
RW / control,pea,per_plant_weight,-0.0214 [-0.763 to 0.72],"t = -0.0696, df = 18, p > 0.1"
BS / control,pea,per_plant_weight,0.137 [-0.605 to 0.879],"t = 0.446, df = 18, p > 0.1"
RW / control,lettuce,shoot_moisture,-0.408 [-1.22 to 0.4],"t = -1.22, df = 18, p > 0.1"
BS / control,lettuce,shoot_moisture,-0.163 [-0.971 to 0.646],"t = -0.486, df = 18, p > 0.1"
RW / control,radish,shoot_moisture,-0.0143 [-0.822 to 0.794],"t = -0.0427, df = 18, p > 0.1"
BS / control,radish,shoot_moisture,0.794 [-0.014 to 1.6],"t = 2.37, df = 18, p = 0.0544."
RW / control,pea,shoot_moisture,0.121 [-0.687 to 0.929],"t = 0.362, df = 18, p > 0.1"
BS / control,pea,shoot_moisture,-0.404 [-1.21 to 0.404],"t = -1.21, df = 18, p > 0.1"
RW / control,lettuce,shoot_root_ratio,0.968 [-0.491 to 2.43],"t = 1.6, df = 18, p > 0.1"
BS / control,lettuce,shoot_root_ratio,1.24 [-0.216 to 2.7],"t = 2.06, df = 18, p > 0.1"
RW / control,radish,shoot_root_ratio,-0.721 [-2.18 to 0.738],"t = -1.19, df = 18, p > 0.1"
BS / control,radish,shoot_root_ratio,0.451 [-1.01 to 1.91],"t = 0.745, df = 18, p > 0.1"
RW / control,pea,shoot_root_ratio,0.0659 [-1.39 to 1.53],"t = 0.109, df = 18, p > 0.1"
BS / control,pea,shoot_root_ratio,0.698 [-0.762 to 2.16],"t = 1.15, df = 18, p > 0.1"
RW / control,lettuce,germination_perc,0.463 [-0.98 to 1.91],"t = 0.775, df = 18, p > 0.1"
BS / control,lettuce,germination_perc,-0.839 [-2.28 to 0.603],"t = -1.4, df = 18, p > 0.1"
RW / control,radish,germination_perc,0.052 [-1.39 to 1.49],"t = 0.087, df = 18, p > 0.1"
BS / control,radish,germination_perc,-0.109 [-1.55 to 1.33],"t = -0.182, df = 18, p > 0.1"
RW / control,pea,germination_perc,0.308 [-1.13 to 1.75],"t = 0.516, df = 18, p > 0.1"
BS / control,pea,germination_perc,-1.27 [-2.71 to 0.174],"t = -2.12, df = 18, p = 0.0885."
RW / control,lettuce,survival_perc.corr,0.384 [-0.66 to 1.43],"t = 0.888, df = 18, p > 0.1"
BS / control,lettuce,survival_perc.corr,-0.0512 [-1.1 to 0.993],"t = -0.118, df = 18, p > 0.1"
RW / control,radish,survival_perc.corr,-4.81e-16 [-1.04 to 1.04],"t = -1.04e-15, df = 18, p > 0.1"
BS / control,radish,survival_perc.corr,0 [-1.04 to 1.04],"t = 1.39e-16, df = 18, p > 0.1"
RW / control,pea,survival_perc.corr,0.567 [-0.478 to 1.61],"t = 1.31, df = 18, p > 0.1"
BS / control,pea,survival_perc.corr,-1.24 [-2.28 to -0.195],"t = -2.87, df = 18, p = 0.0197*"
RW / control,pea,dry_pod_weight.corr,1.15 [-2.32 to 4.62],"t = 0.961, df = 6, p > 0.1"
BS / control,pea,dry_pod_weight.corr,0.0662 [-3.4 to 3.53],"t = 0.0553, df = 6, p > 0.1"
RW / control,pea,per_pod_weight,0.154 [-1.3 to 1.61],"t = 0.306, df = 6, p > 0.1"
BS / control,pea,per_pod_weight,0.232 [-1.22 to 1.69],"t = 0.463, df = 6, p > 0.1"
RW / control,pea,NDVI_mean,-0.0267 [-0.288 to 0.234],"t = -0.316, df = 5, p > 0.1"
BS / control,pea,NDVI_mean,0.023 [-0.269 to 0.315],"t = 0.242, df = 5, p > 0.1"
RW / control,pea,pods,0.666 [-0.0945 to 1.43],"z = 1.95, p = 0.0962."
BS / control,pea,pods,-0.0506 [-0.9 to 0.799],"z = -0.132, p > 0.1"
RW / control,pea,flowers,0.7 [-0.74 to 2.14],"z = 1.08, p > 0.1"
BS / control,pea,flowers,-0.678 [-2.51 to 1.15],"z = -0.824, p > 0.1"
RW / control,all,germination_perc,0.274 [-0.559 to 1.11],"t = 0.795, df = 18, p > 0.1"
BS / control,all,germination_perc,-0.739 [-1.57 to 0.0942],"t = -2.14, df = 18, p = 0.0854."
RW / control,all,survival_perc.corr,0.317 [-0.286 to 0.92],"t = 1.27, df = 18, p > 0.1"
BS / control,all,survival_perc.corr,-0.43 [-1.03 to 0.173],"t = -1.72, df = 18, p > 0.1"
